datetime,TATACHEM_open,TATACHEM_high,TATACHEM_low,TATACHEM_close,TATACHEM_volume
2023-07-27 13:13:59,998.7,999.4,998.5,999.4,4257.0
2023-07-27 13:14:59,999.35,999.45,999.0,999.35,1132.0
2023-07-27 13:15:59,999.45,999.5,999.0,999.45,1604.0
2023-07-27 13:16:59,999.45,999.6,999.1,999.6,575.0
2023-07-27 13:17:59,999.6,999.9,999.25,999.65,471.0
2023-07-27 13:18:59,999.8,1000.0,999.5,1000.0,3592.0
2023-07-27 13:19:59,999.95,1000.0,999.55,999.55,532.0
2023-07-27 13:20:59,999.75,999.75,998.9,999.3,798.0
2023-07-27 13:21:59,999.3,999.3,998.6,999.3,714.0
2023-07-27 13:22:59,999.25,999.3,998.65,998.9,2208.0
2023-07-27 13:23:59,998.9,999.25,998.65,998.95,1326.0
2023-07-27 13:24:59,999.0,999.1,998.65,999.05,890.0
2023-07-27 13:25:59,999.05,999.05,998.45,998.5,901.0
2023-07-27 13:26:59,998.5,998.5,997.95,998.0,3066.0
2023-07-27 13:27:59,998.0,998.35,997.7,998.0,1674.0
2023-07-27 13:28:59,997.65,998.2,997.65,997.95,3456.0
2023-07-27 13:29:59,997.95,998.0,996.7,996.7,1510.0
2023-07-27 13:30:59,996.7,997.5,996.1,996.7,809.0
2023-07-27 13:31:59,996.7,997.3,996.5,996.8,1608.0
2023-07-27 13:32:59,997.05,997.3,996.55,997.25,382.0
2023-07-27 13:33:59,997.0,997.0,996.0,996.3,3551.0
2023-07-27 13:34:59,996.3,996.5,995.95,995.95,1072.0
2023-07-27 13:35:59,995.95,996.4,995.55,995.8,872.0
2023-07-27 13:36:59,995.8,996.2,995.0,995.65,2810.0
2023-07-27 13:37:59,995.65,996.05,995.4,995.65,380.0
2023-07-27 13:38:59,995.7,995.95,995.3,995.65,426.0
2023-07-27 13:39:59,995.65,996.45,995.45,996.45,3218.0
2023-07-27 13:40:59,996.45,996.85,996.05,996.05,431.0
2023-07-27 13:41:59,996.05,997.45,996.05,997.45,2711.0
2023-07-27 13:42:59,997.65,998.85,997.3,998.0,8361.0
2023-07-27 13:43:59,998.0,998.5,997.7,998.45,2704.0
2023-07-27 13:44:59,998.45,998.5,997.8,998.35,1230.0
2023-07-27 13:45:59,998.15,999.15,997.9,998.95,5948.0
2023-07-27 13:46:59,999.15,999.5,998.35,999.3,2105.0
2023-07-27 13:47:59,999.25,999.3,998.55,999.2,900.0
2023-07-27 13:48:59,999.25,999.25,998.05,998.35,901.0
2023-07-27 13:49:59,998.35,998.4,997.5,997.5,879.0
