datetime,NIFTY BANK_open,NIFTY BANK_high,NIFTY BANK_low,NIFTY BANK_close
2023-05-08 09:54:59,43259.0,43263.2,43247.75,43250.35
2023-05-08 09:55:59,43253.6,43280.2,43251.5,43252.7
2023-05-08 09:56:59,43255.85,43276.35,43255.85,43264.0
2023-05-08 09:57:59,43263.9,43294.55,43258.7,43294.55
2023-05-08 09:58:59,43291.25,43316.5,43283.7,43300.2
2023-05-08 09:59:59,43307.35,43310.4,43279.6,43304.05
2023-05-08 10:00:59,43296.7,43322.9,43276.6,43283.6
2023-05-08 10:01:59,43280.85,43290.2,43276.65,43290.2
2023-05-08 10:02:59,43289.9,43298.05,43278.05,43279.45
2023-05-08 10:03:59,43277.0,43284.65,43261.8,43280.3
2023-05-08 10:04:59,43278.45,43305.6,43278.45,43292.7
2023-05-08 10:05:59,43298.75,43298.75,43223.9,43223.9
2023-05-08 10:06:59,43225.3,43245.65,43217.45,43235.8
2023-05-08 10:07:59,43235.65,43269.95,43234.9,43267.05
2023-05-08 10:08:59,43268.9,43268.9,43234.55,43241.8
2023-05-08 10:09:59,43249.55,43263.0,43237.8,43247.45
2023-05-08 10:10:59,43245.05,43246.2,43203.2,43216.75
2023-05-08 10:11:59,43222.95,43227.95,43207.85,43225.1
2023-05-08 10:12:59,43221.6,43237.75,43221.6,43237.65
2023-05-08 10:13:59,43236.95,43238.7,43182.75,43195.45
2023-05-08 10:14:59,43200.7,43200.7,43166.8,43174.95
2023-05-08 10:15:59,43174.75,43213.65,43167.75,43207.3
2023-05-08 10:16:59,43201.5,43211.7,43186.35,43189.75
2023-05-08 10:17:59,43187.65,43195.05,43160.05,43170.0
2023-05-08 10:18:59,43167.9,43180.55,43166.4,43171.75
2023-05-08 10:19:59,43166.7,43219.9,43166.7,43200.35
2023-05-08 10:20:59,43194.15,43204.6,43175.45,43182.5
2023-05-08 10:21:59,43186.6,43205.95,43159.8,43205.95
2023-05-08 10:22:59,43203.85,43249.15,43203.85,43247.25
2023-05-08 10:23:59,43244.4,43280.75,43240.6,43275.4
2023-05-08 10:24:59,43276.2,43287.75,43268.75,43283.55
2023-05-08 10:25:59,43284.6,43289.45,43232.8,43241.15
2023-05-08 10:26:59,43243.65,43269.1,43242.8,43262.4
2023-05-08 10:27:59,43264.9,43279.4,43258.6,43263.05
2023-05-08 10:28:59,43264.05,43269.75,43242.35,43244.35
2023-05-08 10:29:59,43248.0,43267.9,43241.2,43265.4
2023-05-08 10:30:59,43263.55,43270.15,43248.1,43256.85
2023-05-08 10:31:59,43253.55,43276.9,43252.55,43273.5
2023-05-08 10:32:59,43276.4,43278.3,43232.75,43234.55
2023-05-08 10:33:59,43232.05,43275.1,43228.95,43270.05
2023-05-08 10:34:59,43273.85,43284.1,43256.7,43256.7
2023-05-08 10:35:59,43255.85,43263.45,43243.85,43263.45
2023-05-08 10:36:59,43266.3,43275.25,43248.55,43248.55
2023-05-08 10:37:59,43251.5,43266.45,43241.05,43243.35
2023-05-08 10:38:59,43244.3,43267.85,43241.25,43252.65
2023-05-08 10:39:59,43252.1,43256.55,43244.55,43256.55
2023-05-08 10:40:59,43252.45,43259.0,43231.85,43231.85
2023-05-08 10:41:59,43231.95,43248.5,43225.3,43225.5
2023-05-08 10:42:59,43228.0,43271.6,43224.8,43269.05
2023-05-08 10:43:59,43267.5,43268.25,43250.5,43256.8
2023-05-08 10:44:59,43255.45,43277.3,43246.7,43276.15
2023-05-08 10:45:59,43275.85,43311.65,43271.5,43310.15
2023-05-08 10:46:59,43307.35,43334.55,43305.4,43308.35
2023-05-08 10:47:59,43308.35,43326.6,43308.35,43317.1
2023-05-08 10:48:59,43315.75,43322.75,43304.95,43309.45
2023-05-08 10:49:59,43306.95,43321.25,43305.8,43320.8
2023-05-08 10:50:59,43319.65,43323.0,43303.65,43307.8
2023-05-08 10:51:59,43305.9,43306.25,43232.9,43249.45
2023-05-08 10:52:59,43250.9,43257.15,43238.8,43256.4
2023-05-08 10:53:59,43255.9,43266.4,43250.05,43266.4
2023-05-08 10:54:59,43259.25,43264.3,43252.2,43262.65
2023-05-08 10:55:59,43263.45,43264.15,43252.75,43259.5
2023-05-08 10:56:59,43256.55,43274.25,43256.55,43273.65
2023-05-08 10:57:59,43272.5,43283.95,43268.45,43281.85
2023-05-08 10:58:59,43276.05,43289.3,43275.5,43277.2
2023-05-08 10:59:59,43270.2,43278.45,43267.5,43274.1
2023-05-08 11:00:59,43275.0,43285.25,43269.9,43269.9
2023-05-08 11:01:59,43267.75,43270.4,43257.9,43260.55
2023-05-08 11:02:59,43262.55,43262.55,43244.35,43245.3
2023-05-08 11:03:59,43243.85,43258.6,43237.65,43255.65
2023-05-08 11:04:59,43253.25,43256.85,43244.0,43248.1
2023-05-08 11:05:59,43247.55,43250.5,43242.65,43246.05
2023-05-08 11:06:59,43251.1,43257.25,43243.9,43244.15
2023-05-08 11:07:59,43243.35,43243.35,43222.45,43237.3
2023-05-08 11:08:59,43234.5,43236.35,43215.1,43215.7
2023-05-08 11:09:59,43218.85,43228.0,43217.35,43218.8
2023-05-08 11:10:59,43220.4,43244.15,43220.4,43242.55
2023-05-08 11:11:59,43238.0,43249.5,43224.95,43224.95
2023-05-08 11:12:59,43226.85,43233.4,43223.35,43229.6
2023-05-08 11:13:59,43230.45,43241.4,43230.45,43236.65
